Trial_type,Response,Points_earned,EV,PE,choiceprob,pred_choice,pred_reward,run_id,seed,param_beta,param_lossave,param_alpha,param_exp
1.0,1,-495,-1.42625,,0.49108688180121757,2,0.0,2,44,0.05,0.5,0.05,1.0
1.0,2,0,-1.42625,5.0713125,0.49108688180121757,1,100.0,2,44,0.05,0.5,0.05,1.0
1.0,2,0,3.6450625000000003,,0.5454375788412922,2,0.0,2,44,0.05,0.5,0.05,1.0
1.0,2,0,3.6450625000000003,4.817746875000001,0.5454375788412922,1,100.0,2,44,0.05,0.5,0.05,1.0
4.0,1,10,0.48750000000000004,0.22562500000000002,0.5060934483058888,1,5.0,2,44,0.05,0.5,0.05,1.0
3.0,0,0,-0.48750000000000004,,0.49695316271344436,2,0.0,2,44,0.05,0.5,0.05,1.0
1.0,2,0,8.462809375,4.57685953125,0.6042344916934156,1,100.0,2,44,0.05,0.5,0.05,1.0
1.0,2,0,13.03966890625,,0.6574572882440766,2,0.0,2,44,0.05,0.5,0.05,1.0
3.0,1,100,-0.48750000000000004,-0.22562500000000002,0.49695316271344436,1,-5.0,2,44,0.05,0.5,0.05,1.0
4.0,1,10,0.713125,,0.5089131181987824,2,0.0,2,44,0.05,0.5,0.05,1.0
2.0,1,495,-9.037500000000001,0.9518750000000001,0.4437546880836536,1,10.0,2,44,0.05,0.5,0.05,1.0
2.0,1,-5,-8.085625000000002,,0.449636219241488,2,0.0,2,44,0.05,0.5,0.05,1.0
1.0,2,0,13.03966890625,-1.1519834453125,0.6574572882440766,1,-10.0,2,44,0.05,0.5,0.05,1.0
2.0,1,-5,-8.085625000000002,0.90428125,0.449636219241488,1,10.0,2,44,0.05,0.5,0.05,1.0
3.0,1,100,-0.713125,-0.21434375000000003,0.4955430867989071,1,-5.0,2,44,0.05,0.5,0.05,1.0
3.0,1,100,-0.9274687500000001,,0.4942035800013464,2,0.0,2,44,0.05,0.5,0.05,1.0
2.0,2,0,-7.181343750000002,0.8590671875000002,0.4552367722120754,1,10.0,2,44,0.05,0.5,0.05,1.0
2.0,2,0,-6.322276562500002,,0.4605678284945686,2,0.0,2,44,0.05,0.5,0.05,1.0
1.0,1,5,11.887685460937501,4.405615726953125,0.6443704680074338,1,100.0,2,44,0.05,0.5,0.05,1.0
3.0,1,-10,-0.9274687500000001,-0.2036265625,0.4942035800013464,1,-5.0,2,44,0.05,0.5,0.05,1.0
3.0,1,-10,-1.1310953125,,0.4929311253193945,2,0.0,2,44,0.05,0.5,0.05,1.0
4.0,1,10,0.713125,0.21434375000000003,0.5089131181987824,1,5.0,2,44,0.05,0.5,0.05,1.0
1.0,1,5,16.293301187890627,,0.6931027082679716,2,0.0,2,44,0.05,0.5,0.05,1.0
4.0,0,0,0.9274687500000001,0.2036265625,0.5115912821992321,1,5.0,2,44,0.05,0.5,0.05,1.0
3.0,1,-10,-1.1310953125,-0.193445234375,0.4929311253193945,1,-5.0,2,44,0.05,0.5,0.05,1.0
1.0,1,5,16.293301187890627,4.185334940605469,0.6931027082679716,1,100.0,2,44,0.05,0.5,0.05,1.0
1.0,2,0,20.478636128496095,3.9760681935751956,0.73573775980281,1,100.0,2,44,0.05,0.5,0.05,1.0
1.0,1,5,24.45470432207129,3.7772647838964355,0.772544538425485,1,100.0,2,44,0.05,0.5,0.05,1.0
1.0,1,5,28.231969105967725,3.588401544701614,0.8040179395847342,1,100.0,2,44,0.05,0.5,0.05,1.0
1.0,1,5,31.82037065066934,-2.091018532533467,0.8307593552043889,1,-10.0,2,44,0.05,0.5,0.05,1.0
3.0,1,100,-1.324540546875,,0.4917223779392273,2,0.0,2,44,0.05,0.5,0.05,1.0
4.0,1,-100,1.1310953125,,0.5141349241297235,2,0.0,2,44,0.05,0.5,0.05,1.0
1.0,1,5,29.72935211813587,-1.9864676059067936,0.8155474874882863,1,-10.0,2,44,0.05,0.5,0.05,1.0
3.0,1,-10,-1.324540546875,,0.4917223779392273,2,0.0,2,44,0.05,0.5,0.05,1.0
1.0,1,5,27.74288451222908,,0.8001359436503634,2,0.0,2,44,0.05,0.5,0.05,1.0
4.0,1,-100,1.1310953125,-24.856554765625003,0.5141349241297235,1,-496.0,2,44,0.05,0.5,0.05,1.0
3.0,2,0,-1.324540546875,,0.4917223779392273,2,0.0,2,44,0.05,0.5,0.05,1.0
1.0,1,5,27.74288451222908,3.612855774388546,0.8001359436503634,1,100.0,2,44,0.05,0.5,0.05,1.0
1.0,1,5,31.355740286617625,3.4322129856691195,0.8274679007836024,1,100.0,2,44,0.05,0.5,0.05,1.0
4.0,0,0,-23.725459453125,,0.3559155227455457,2,0.0,2,44,0.05,0.5,0.05,1.0
3.0,1,100,-1.324540546875,,0.4917223779392273,2,0.0,2,44,0.05,0.5,0.05,1.0
3.0,1,-10,-1.324540546875,,0.4917223779392273,2,0.0,2,44,0.05,0.5,0.05,1.0
